Address,Price,Beds,Baths,Space
"10 Welland Rd, Markham, Ontario","$898,888 CAD",3 BedsBds,4 BathsBa,"1,500 SqftSqft"
"10 Westmeath Lane, Markham, Ontario","$738,888 CAD",2 BedsBds,2 BathsBa,"1,000 SqftSqft"
"15 Major Elliot Crt, Markham, Ontario","$1,288,000 CAD",3 BedsBds,3 BathsBa,
"Joy Station Condos - 9781 Markham Road, Markham, Markham, Ontario L6E 0H8","$550,000 CAD",,,
"3 Waterleaf Rd Markham Ontario L6B0Z3, Markham, Ontario L6B0Z3","$1,750,900 CAD",5 BedsBds,5 BathsBa,
"33 Lugano Cres, Markham, Ontario","$1,680,000 CAD",4 BedsBds,5 BathsBa,
"20 East Dr, Markham, Ontario","$1,939,000 CAD",4 BedsBds,4 BathsBa,
"42 Clark Ave, Markham, Ontario","$1,998,000 CAD",3 BedsBds,4 BathsBa,"2,500 SqftSqft"
"42 Old Oak Lane, Markham, Ontario","$872,000 CAD",3 BedsBds,4 BathsBa,
"66 Calderbridge Cres, Markham, Ontario L3R9M4","$2,980,000 CAD",5 BedsBds,6 BathsBa,
"Markham Mills Townhomes, Markham, Ontario L3P3J3","$1,190,000 CAD",,,
"9704 McCowan Rd, Markham, Ontario","$440,000 CAD",,,
"2 Calderbridge Cres, Markham, Ontario L9R 9M8","$2,449,900 CAD",5 BedsBds,5 BathsBa,
"43 Manila Ave, Markham, Ontario L6C0W2","$1,688,000 CAD",4 BedsBds,4 BathsBa,
"83 The Meadows Ave, Markham, Ontario","$975,000 CAD",3 BedsBds,3 BathsBa,
"47 Tangmere Cres, Markham, Ontario L3R6Y6","$958,000 CAD",3 BedsBds,2 BathsBa,
"114 Alfred Paterson Dr, Markham, Ontario L6E1L5","$1,100,000 CAD",3 BedsBds,3 BathsBa,
"2 Westmeath Lane, Markham, Ontario L6B0A8","$699,000 CAD",2 BedsBds,2 BathsBa,
"2830 Denison St, Markham, Ontario L3S4T5","$939,900 CAD",4 BedsBds,4 BathsBa,
"7400 Markham Rd, Markham, Ontario L3S0C5","$659,000 CAD",2 BedsBds,2 BathsBa,
"18 Ferncliffe Cres, Markham, Ontario L3S4N9","$1,598,000 CAD",4 BedsBds,4 BathsBa,
"11 Dunsheath Way, Markham, Ontario, Markham, Ontario L6B1N3","$588,000 CAD",2 BedsBds,2 BathsBa,
"The Watford, Markham, Ontario L3R2G9","$500,000 CAD",,,
"No address available, Markham, Ontario L6E1J6","$888,000 CAD",3 BedsBds,4 BathsBa,
"18 Ferncliffe Cres, Markham, Ontario L3S4N9","$1,598,000 CAD",4 BedsBds,4 BathsBa,
"11 Dunsheath Way, Markham, Ontario, Markham, Ontario L6B1N3","$588,000 CAD",2 BedsBds,2 BathsBa,
"114 Alfred Paterson Dr, Markham, Ontario L6E1L5","$1,100,000 CAD",3 BedsBds,3 BathsBa,
"98 Apollo Rd, Markham, Ontario L3S 4H2","$1,389,900 CAD",4 BedsBds,4 BathsBa,
"Markham Mills Townhomes, Markham, Ontario L3P3J3","$1,190,000 CAD",,,
"1 ROYAL ORCHARD BLVD 1403, Markham, Ontario L3T3C1","$548,900 CAD",3 BedsBds,2 BathsBa,
"41 TOWER BRIDGE CRES S, Markham, Ontario L6C2M9","$1,188,000 CAD",5 BedsBds,4 BathsBa,
"58 Adam Sellers St, Markham, Ontario L6B1M7","$558,888 CAD",1 BedBd,1 BathBa,
"273 SOUTH PARK Road Unit 112, Markham, Ontario L3T0B5","$724,888 CAD",2 BedsBds,2 BathsBa,
"11 OLIVE VILLA CRT, Markham, Ontario L3T0C1","$2,998,000 CAD",5 BedsBds,6 BathsBa,
"80 TRAIL RIDGE LANE, Markham, Ontario L6C2C1","$1,499,900 CAD",5 BedsBds,4 BathsBa,
"51 TIMES AVE 101, Markham, Ontario L3T7X7","$499,900 CAD",2 BedsBds,1 BathBa,
"1 Hua Du Ave, Markham, Ontario L6C 0T2","$1,199,900 CAD",4 BedsBds,5 BathsBa,
"3 CONSERVATION AVE, Markham, Ontario L3P1J5","$1,300,000 CAD",4 BedsBds,2 BathsBa,
"18 UPTOWN DR 1008, Markham, Ontario L3R5M5","$799,900 CAD",3 BedsBds,2 BathsBa,
"2817 BUR OAK AVE, Markham, Ontario L6B1E2","$699,900 CAD",3 BedsBds,2 BathsBa,
"26 PINGEL RD, Markham, Ontario L6B1B7","$998,800 CAD",4 BedsBds,3 BathsBa,
"58 ADAM SELLERS ST 114, Markham, Ontario L6B1M7","$558,888 CAD",2 BedsBds,1 BathBa,
"48 CORAL HARBOUR CRES, Markham, Ontario L3T2Z7","$1,349,000 CAD",4 BedsBds,2 BathsBa,
"51 SADDLECREEK DR Lph07, Markham, Ontario L3T7Z1","$585,000 CAD",2 BedsBds,1 BathBa,
"14 CAFARO LANE, Markham, Ontario L5C0Z2","$1,288,000 CAD",3 BedsBds,3 BathsBa,
"292 Simonston Blvd 32, Markham, Ontario L3T4T5","$799,000 CAD",4 BedsBds,4 BathsBa,
"10 Senator Reesors Dr, Markham, Ontario L3P3E2","$1,208,000 CAD",4 BedsBds,3 BathsBa,
"53 Glenbourne Park Dr, Markham, Ontario L6C1H5","$2,999,000 CAD",4 BedsBds,3 BathsBa,
"3 CONSERVATION AVE, Markham, Ontario L3P1J5","$1,300,000 CAD",4 BedsBds,2 BathsBa,
"26 Pingel Rd, Markham, Ontario L6B1B7","$998,800 CAD",4 BedsBds,3 BathsBa,
